alanine	CHEBI:16449	alanine
glucose	CHEBI:17234	glucose
serine	CHEBI:17822	serine
threonine	CHEBI:26986	threonine
dextrin	CHEBI:28675	dextrin
fructose	CHEBI:28757	fructose
maltose	CHEBI:17306	maltose
mannose	CHEBI:37684	mannose
sucrose	CHEBI:17992	sucrose
arabinose	CHEBI:22599	arabinose
cellobiose	CHEBI:17057	cellobiose
galactose	CHEBI:28260	galactose
raffinose	CHEBI:16634	raffinose
salicin	CHEBI:17814	salicin
xylose	CHEBI:18222	xylose
glycerol	CHEBI:17754	glycerol
mannitol	CHEBI:29864	mannitol
ethanol	CHEBI:16236	ethanol
acetate	CHEBI:30089	acetate
arginine	CHEBI:29016	arginine
glycine	CHEBI:15428	glycine
histidine	CHEBI:27570	histidine
lactate	CHEBI:24996	lactate
leucine	CHEBI:25017	leucine
propionate	CHEBI:17272	propionate
lactose	CHEBI:17716	lactose
melibiose	CHEBI:28053	melibiose
rhamnose	CHEBI:26546	rhamnose
ribose	CHEBI:33942	ribose
trehalose	CHEBI:27082	trehalose
asparagine	CHEBI:22653	asparagine
galacturonic acid	CHEBI:33830	galacturonic acid
gluconic acid	CHEBI:24266	gluconic acid
myo-inositol	CHEBI:17268	myo-inositol
pyruvate	CHEBI:15361	pyruvate
malate	CHEBI:25115	malate
glycogen	CHEBI:28087	glycogen
succinate	CHEBI:26806	succinate
urocanic acid	CHEBI:27248	urocanic acid
aspartate	CHEBI:132943	aspartate
formic acid	CHEBI:30751	formic acid
methyl pyruvate	CHEBI:51850	methyl pyruvate
proline	CHEBI:26271	proline
gelatin	CHEBI:5291	gelatin
ornithine	CHEBI:18257	ornithine
phenylacetate	CHEBI:18401	phenylacetate
phenylalanine	CHEBI:28044	phenylalanine
3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate
fucose	CHEBI:33984	fucose
glucosamine	CHEBI:5417	glucosamine
xylitol	CHEBI:17151	xylitol
inosine	CHEBI:17596	inosine
urea	CHEBI:16199	urea
galactonic acid	CHEBI:24149	galactonic acid
uridine	CHEBI:16704	uridine
tryptophan	CHEBI:27897	tryptophan
valerate	CHEBI:31011	valerate
alpha-cyclodextrin	CHEBI:40585	alpha-cyclodextrin
3-hydroxybenzoate	CHEBI:16193	3-hydroxybenzoate
suberic acid	CHEBI:9300	suberic acid
thymidine	CHEBI:17748	thymidine
putrescine	CHEBI:17148	putrescine
carnitine	CHEBI:17126	carnitine
gamma-aminobutyric acid	CHEBI:16865	gamma-aminobutyric acid
quinic acid	CHEBI:26493	quinic acid
isobutanol	CHEBI:46645	isobutanol
cyclopentanol	CHEBI:16133	cyclopentanol
dimethylamine	CHEBI:17170	dimethylamine
trimethylamine	CHEBI:18139	trimethylamine
methanol	CHEBI:17790	methanol
methylamine	CHEBI:16830	methylamine
